ramp_type,ramp_index,t_start,t_end,t10_cross_s,t90_cross_s,rise_time_10_90_s,fall_time_10_90_s,time_10_90_s,status
heating,0,2024-07-10 16:21:09,2024-07-10 16:26:43,2800.0,3085.5,285.5,,285.5,ok
heating,1,2024-07-10 17:19:06,2024-07-10 17:24:30,6277.7,6563.6,285.90000000000055,,285.90000000000055,ok
heating,2,2024-07-10 18:16:54,2024-07-10 18:22:20,9757.318181818182,10040.285714285714,282.9675324675318,,282.9675324675318,ok
heating,3,2024-07-10 19:14:50,2024-07-10 19:20:22,13237.5,13520.625,283.125,,283.125,ok
heating,4,2024-07-10 20:12:42,2024-07-10 20:18:47,16717.0,16999.125,282.125,,282.125,ok
heating,5,2024-07-10 21:12:05,2024-07-10 21:17:40,20257.0,20539.5,282.5,,282.5,ok
heating,6,2024-07-10 22:09:53,2024-07-10 22:15:18,23739.75,24018.285714285714,278.53571428571377,,278.53571428571377,ok
heating,7,2024-07-10 23:07:49,2024-07-10 23:13:16,27216.75,27496.285714285714,279.53571428571377,,279.53571428571377,ok
heating,8,2024-07-11 00:05:49,2024-07-11 00:11:15,30696.5,30977.375,280.875,,280.875,ok
heating,9,2024-07-11 01:03:49,2024-07-11 01:09:16,34178.0,34457.375,279.375,,279.375,ok
heating,10,2024-07-11 02:02:03,2024-07-11 02:07:42,37657.0,37938.555555555555,281.55555555555475,,281.55555555555475,ok
heating,11,2024-07-11 03:00:05,2024-07-11 03:05:27,41136.7,41415.5,278.8000000000029,,278.8000000000029,ok
heating,12,2024-07-11 03:58:03,2024-07-11 04:03:25,44617.3,44893.5,276.1999999999971,,276.1999999999971,ok
heating,13,2024-07-11 04:56:00,2024-07-11 05:01:22,48104.375,48375.25,270.875,,270.875,ok
heating,14,2024-07-11 05:54:04,2024-07-11 05:59:41,51575.5,51857.375,281.875,,281.875,ok
heating,15,2024-07-11 06:51:43,2024-07-11 06:57:16,55058.25,55335.625,277.375,,277.375,ok
heating,16,2024-07-11 07:49:48,2024-07-11 07:55:24,58539.5,58822.71428571428,283.2142857142826,,283.2142857142826,ok
heating,17,2024-07-11 08:47:57,2024-07-11 08:53:30,62018.666666666664,62304.833333333336,286.1666666666715,,286.1666666666715,ok
heating,18,2024-07-11 09:46:06,2024-07-11 09:51:31,65497.045454545456,65777.25,280.20454545454413,,280.20454545454413,ok
heating,19,2024-07-11 10:44:06,2024-07-11 10:49:44,68977.0,69259.55555555556,282.555555555562,,282.555555555562,ok
heating,20,2024-07-11 11:41:55,2024-07-11 11:47:22,72456.66666666667,72735.6,278.9333333333343,,278.9333333333343,ok
heating,21,2024-07-11 12:40:05,2024-07-11 12:45:32,75934.5,76214.5,280.0,,280.0,ok
heating,22,2024-07-11 13:38:08,2024-07-11 13:43:22,79417.25,79701.125,283.875,,283.875,ok
heating,23,2024-07-11 14:35:57,2024-07-11 14:41:27,82898.66666666667,83183.92857142857,285.2619047618937,,285.2619047618937,ok
heating,24,2024-07-11 15:34:03,2024-07-11 15:39:34,86374.33333333333,86659.5,285.1666666666715,,285.1666666666715,ok
heating,25,2024-07-11 16:31:48,2024-07-11 16:37:22,89856.0,90139.5,283.5,,283.5,ok
heating,26,2024-07-11 17:30:04,2024-07-11 17:35:36,93336.90909090909,93618.5,281.59090909091174,,281.59090909091174,ok
heating,27,2024-07-11 18:28:00,2024-07-11 18:33:32,96815.36363636363,97096.75,281.3863636363676,,281.3863636363676,ok
heating,28,2024-07-11 19:25:58,2024-07-11 19:31:23,100296.77777777778,100575.0,278.222222222219,,278.222222222219,ok
heating,29,2024-07-11 20:23:43,2024-07-11 20:29:18,103776.5,104056.625,280.125,,280.125,ok
heating,30,2024-07-11 21:21:52,2024-07-11 21:27:22,107256.55555555556,107534.6,278.0444444444438,,278.0444444444438,ok
heating,31,2024-07-11 22:19:42,2024-07-11 22:25:18,110735.75,111018.71428571429,282.9642857142899,,282.9642857142899,ok
heating,32,2024-07-11 23:18:03,2024-07-11 23:23:12,114215.25,114491.77777777778,276.527777777781,,276.527777777781,ok
heating,33,2024-07-12 00:16:03,2024-07-12 00:21:36,117693.9,117975.0,281.1000000000058,,281.1000000000058,ok
heating,34,2024-07-12 01:14:01,2024-07-12 01:19:30,121174.1,121452.5,278.3999999999942,,278.3999999999942,ok
heating,35,2024-07-12 02:11:57,2024-07-12 02:17:23,124653.9,124931.0,277.1000000000058,,277.1000000000058,ok
heating,36,2024-07-12 03:09:50,2024-07-12 03:15:16,128135.65,128412.16666666667,276.51666666667734,,276.51666666667734,ok
heating,37,2024-07-12 04:07:55,2024-07-12 04:13:22,131615.25,131890.5,275.25,,275.25,ok
heating,38,2024-07-12 05:05:52,2024-07-12 05:11:19,135093.66666666666,135371.25,277.58333333334303,,277.58333333334303,ok
heating,39,2024-07-12 06:03:55,2024-07-12 06:09:22,138571.9,138850.5,278.6000000000058,,278.6000000000058,ok
heating,40,2024-07-12 07:01:52,2024-07-12 07:07:19,142054.5,142335.16666666666,280.66666666665697,,280.66666666665697,ok
heating,41,2024-07-12 07:59:50,2024-07-12 08:05:17,145532.1,145816.57142857142,284.47142857141444,,284.47142857141444,ok
heating,42,2024-07-12 08:57:47,2024-07-12 09:03:23,149013.75,149300.0,286.25,,286.25,ok
heating,43,2024-07-12 09:55:42,2024-07-12 10:01:21,152495.75,152778.875,283.125,,283.125,ok
heating,44,2024-07-12 10:53:41,2024-07-12 10:59:21,155974.0,156258.7142857143,284.7142857142899,,284.7142857142899,ok
heating,45,2024-07-12 11:51:51,2024-07-12 11:57:21,159451.0909090909,159737.5,286.40909090908826,,286.40909090908826,ok
heating,46,2024-07-12 12:49:50,2024-07-12 12:55:23,162939.75,163216.75,277.0,,277.0,ok
heating,47,2024-07-12 13:47:51,2024-07-12 13:53:17,166412.66666666666,166693.16666666666,280.5,,280.5,ok
heating,48,2024-07-12 14:45:56,2024-07-12 14:51:23,169891.36363636365,170173.0,281.63636363635305,,281.63636363635305,ok
heating,49,2024-07-12 15:43:58,2024-07-12 15:49:36,173371.54545454544,173654.5,282.9545454545587,,282.9545454545587,ok
heating,50,2024-07-12 16:42:07,2024-07-12 16:47:22,176858.5,177140.125,281.625,,281.625,ok
heating,51,2024-07-12 17:39:53,2024-07-12 17:45:20,180334.66666666666,180612.5,277.83333333334303,,277.83333333334303,ok
heating,52,2024-07-12 18:38:06,2024-07-12 18:43:21,183818.0,184097.7142857143,279.7142857142899,,279.7142857142899,ok
heating,53,2024-07-12 19:35:58,2024-07-12 19:41:26,187289.7,187571.0,281.29999999998836,,281.29999999998836,ok
heating,54,2024-07-12 20:34:06,2024-07-12 20:39:41,190777.33333333334,191056.55555555556,279.222222222219,,279.222222222219,ok
heating,55,2024-07-12 21:32:05,2024-07-12 21:37:33,194258.0,194537.0,279.0,,279.0,ok
heating,56,2024-07-12 22:29:43,2024-07-12 22:35:12,197731.0,198008.16666666666,277.16666666665697,,277.16666666665697,ok
heating,57,2024-07-12 23:28:05,2024-07-12 23:33:34,201218.0,201495.0,277.0,,277.0,ok
heating,58,2024-07-13 00:25:46,2024-07-13 00:31:15,204693.5,204971.16666666666,277.66666666665697,,277.66666666665697,ok
heating,59,2024-07-13 01:23:38,2024-07-13 01:29:14,208171.75,208452.375,280.625,,280.625,ok
heating,60,2024-07-13 02:21:58,2024-07-13 02:27:12,211649.35,211930.5,281.1499999999942,,281.1499999999942,ok
heating,61,2024-07-13 03:19:55,2024-07-13 03:25:25,215131.9,215409.5,277.6000000000058,,277.6000000000058,ok
heating,62,2024-07-13 04:17:48,2024-07-13 04:23:17,218610.1,218887.0,276.8999999999942,,276.8999999999942,ok
heating,63,2024-07-13 05:15:36,2024-07-13 05:21:10,222092.0,222369.2857142857,277.2857142857101,,277.2857142857101,ok
heating,64,2024-07-13 06:13:41,2024-07-13 06:19:11,225572.5,225849.7857142857,277.2857142857101,,277.2857142857101,ok
heating,65,2024-07-13 07:11:58,2024-07-13 07:17:16,229050.0,229331.88888888888,281.88888888887595,,281.88888888887595,ok
heating,66,2024-07-13 08:09:57,2024-07-13 08:15:38,232531.9,232812.55555555556,280.65555555556784,,280.65555555556784,ok
heating,67,2024-07-13 09:07:59,2024-07-13 09:13:32,236011.45,236290.5,279.04999999998836,,279.04999999998836,ok
heating,68,2024-07-13 10:05:59,2024-07-13 10:11:36,239491.27272727274,239774.5,283.2272727272648,,283.2272727272648,ok
heating,69,2024-07-13 11:03:43,2024-07-13 11:09:14,242971.5,243249.25,277.75,,277.75,ok
heating,70,2024-07-13 12:01:41,2024-07-13 12:07:15,246449.25,246727.6,278.3500000000058,,278.3500000000058,ok
heating,71,2024-07-13 12:59:39,2024-07-13 13:05:13,249932.75,250210.5,277.75,,277.75,ok
heating,72,2024-07-13 13:57:42,2024-07-13 14:03:13,253411.75,253688.25,276.5,,276.5,ok
heating,73,2024-07-13 14:55:43,2024-07-13 15:01:17,256896.75,257173.75,277.0,,277.0,ok
heating,74,2024-07-13 15:53:44,2024-07-13 15:59:15,260369.65,260647.0,277.3500000000058,,277.3500000000058,ok
heating,75,2024-07-13 16:51:48,2024-07-13 16:57:19,263848.25,264131.0,282.75,,282.75,ok
heating,76,2024-07-13 17:49:53,2024-07-13 17:55:24,267335.5,267612.0,276.5,,276.5,ok
heating,77,2024-07-13 18:47:56,2024-07-13 18:53:11,270810.54545454547,271089.6666666667,279.12121212121565,,279.12121212121565,ok
heating,78,2024-07-13 19:46:00,2024-07-13 19:51:11,274291.0,274570.1875,279.1875,,279.1875,ok
heating,79,2024-07-13 20:43:36,2024-07-13 20:49:11,277770.5,278047.5,277.0,,277.0,ok
heating,80,2024-07-13 21:41:59,2024-07-13 21:47:08,281250.54545454547,281527.5,276.9545454545296,,276.9545454545296,ok
heating,81,2024-07-13 22:39:58,2024-07-13 22:45:09,284729.0,285007.625,278.625,,278.625,ok
heating,82,2024-07-13 23:38:02,2024-07-13 23:43:10,288213.5,288489.64285714284,276.1428571428405,,276.1428571428405,ok
heating,83,2024-07-14 00:35:46,2024-07-14 00:41:19,291690.55555555556,291966.0,275.444444444438,,275.444444444438,ok
heating,84,2024-07-14 01:33:58,2024-07-14 01:39:29,295168.63636363635,295447.0,278.36363636364695,,278.36363636364695,ok
heating,85,2024-07-14 02:31:58,2024-07-14 02:37:10,298650.2272727273,298929.77777777775,279.550505050458,,279.550505050458,ok
heating,86,2024-07-14 03:29:38,2024-07-14 03:35:09,302129.5,302405.1666666667,275.66666666668607,,275.66666666668607,ok
heating,87,2024-07-14 04:27:53,2024-07-14 04:33:25,305608.8888888889,305886.5,277.61111111112405,,277.61111111112405,ok
heating,88,2024-07-14 05:26:00,2024-07-14 05:31:10,309092.3333333333,309368.77777777775,276.444444444438,,276.444444444438,ok
heating,89,2024-07-14 06:23:39,2024-07-14 06:29:12,312570.5,312848.1666666667,277.66666666668607,,277.66666666668607,ok
heating,90,2024-07-14 07:21:55,2024-07-14 07:27:32,316048.1,316326.5,278.4000000000233,,278.4000000000233,ok
heating,91,2024-07-14 08:19:33,2024-07-14 08:25:12,319528.25,319809.8333333333,281.58333333331393,,281.58333333331393,ok
heating,92,2024-07-14 09:17:53,2024-07-14 09:23:25,323008.36363636365,323289.5,281.13636363635305,,281.13636363635305,ok
heating,93,2024-07-14 10:15:58,2024-07-14 10:21:17,326489.0,326774.21428571426,285.21428571426077,,285.21428571426077,ok
heating,94,2024-07-14 11:13:50,2024-07-14 11:19:23,329966.9,330247.0,280.0999999999767,,280.0999999999767,ok
heating,95,2024-07-14 12:11:57,2024-07-14 12:17:09,333447.0,333728.77777777775,281.7777777777519,,281.7777777777519,ok
heating,96,2024-07-14 13:09:43,2024-07-14 13:15:14,336927.7,337206.0,278.29999999998836,,278.29999999998836,ok
heating,97,2024-07-14 14:07:55,2024-07-14 14:13:09,340406.9,340687.5,280.5999999999767,,280.5999999999767,ok
heating,98,2024-07-14 15:05:41,2024-07-14 15:11:14,343889.5,344166.0,276.5,,276.5,ok
heating,99,2024-07-14 16:03:56,2024-07-14 16:09:10,347366.0,347649.5,283.5,,283.5,ok
cooling,0,2024-07-10 16:50:43,2024-07-10 16:56:30,4579.333333333333,4886.166666666667,,306.83333333333394,306.83333333333394,ok
cooling,1,2024-07-10 17:48:39,2024-07-10 17:54:43,8059.428571428572,8369.0,,309.57142857142844,309.57142857142844,ok
cooling,2,2024-07-10 18:46:32,2024-07-10 18:52:36,11539.5,11845.5,,306.0,306.0,ok
cooling,3,2024-07-10 19:44:28,2024-07-10 19:50:32,15015.5,15324.5,,309.0,309.0,ok
cooling,4,2024-07-10 20:42:18,2024-07-10 20:48:30,18498.0,18804.8,,306.7999999999993,306.7999999999993,ok
cooling,5,2024-07-10 21:41:36,2024-07-10 21:47:40,22040.14285714286,22346.0,,305.8571428571413,305.8571428571413,ok
cooling,6,2024-07-10 22:39:32,2024-07-10 22:45:37,25516.375,25819.5,,303.125,303.125,ok
cooling,7,2024-07-10 23:37:29,2024-07-10 23:43:35,28996.5,29311.6,,315.09999999999854,315.09999999999854,ok
cooling,8,2024-07-11 00:35:31,2024-07-11 00:41:37,32478.5,32785.5,,307.0,307.0,ok
cooling,9,2024-07-11 01:33:25,2024-07-11 01:39:29,35956.0,36257.5,,301.5,301.5,ok
cooling,10,2024-07-11 02:31:40,2024-07-11 02:37:27,39437.875,39741.0,,303.125,303.125,ok
cooling,11,2024-07-11 03:29:37,2024-07-11 03:35:44,42914.0,43223.5,,309.5,309.5,ok
cooling,12,2024-07-11 04:27:41,2024-07-11 04:33:48,46395.375,46710.5,,315.125,315.125,ok
cooling,13,2024-07-11 05:25:38,2024-07-11 05:31:28,49872.5,50185.0,,312.5,312.5,ok
cooling,14,2024-07-11 06:23:21,2024-07-11 06:29:31,53355.25,53669.1,,313.84999999999854,313.84999999999854,ok
cooling,15,2024-07-11 07:21:28,2024-07-11 07:27:33,56838.5,57145.5,,307.0,307.0,ok
cooling,16,2024-07-11 08:19:33,2024-07-11 08:25:39,60317.142857142855,60628.5,,311.35714285714494,311.35714285714494,ok
cooling,17,2024-07-11 09:17:36,2024-07-11 09:23:50,63796.0,64109.0,,313.0,313.0,ok
cooling,18,2024-07-11 10:15:39,2024-07-11 10:21:26,67276.33333333333,67584.0,,307.6666666666715,307.6666666666715,ok
cooling,19,2024-07-11 11:13:26,2024-07-11 11:19:35,70758.75,71068.9,,310.1499999999942,310.1499999999942,ok
cooling,20,2024-07-11 12:11:36,2024-07-11 12:17:50,74236.0,74544.83333333333,,308.8333333333285,308.8333333333285,ok
